Snapshot_Date,Country,City,Address,Postal_Code,Store_ID,Target_Disease,Vaccine_Brand,Manufacturer,Stock_Quantity,Min_Stock_Level,Expiry_Date,Storage_Type
2026-02-21,Hungary,Budapest,Váci utca 36,1052,HU-BUD-022,COVID-19,Nuvaxovid,Novavax,40,15,2026-07-20,Refrigerated (2-8°C)
2026-02-21,Hungary,Budapest,Teréz körút 25,1067,HU-BUD-023,Influenza,Vaxigrip Tetra,Sanofi,130,50,2026-09-10,Refrigerated (2-8°C)
2026-02-21,Hungary,Budapest,"Mammut II, Lövőház u. 2-6",1024,HU-BUD-024,Pneumonia,Prevnar 13,Pfizer,55,20,2027-04-01,Refrigerated (2-8°C)
2026-02-21,Hungary,Debrecen,Piac utca 30,4025,HU-DEB-025,RSV,Arexvy,GSK,14,5,2026-11-15,Refrigerated (2-8°C)
2026-02-21,Hungary,Szeged,Kárász utca 14,6720,HU-SZE-026,COVID-19,Comirnaty,Pfizer/BioNTech,90,40,2026-06-25,Ultra-Low Temp
2026-02-21,Slovakia,Bratislava,Einsteinova 18 (Aupark),85101,SK-BRA-027,Influenza,Fluarix Tetra,GSK,75,30,2026-08-20,Refrigerated (2-8°C)
2026-02-21,Slovakia,Bratislava,"Eurovea, Pribinova 8",81109,SK-BRA-028,RSV,Abrysvo,Pfizer,20,8,2026-12-20,Refrigerated (2-8°C)
2026-02-21,Slovakia,Kosice,Hlavná 20,04001,SK-KOS-029,Pneumonia,Pneumovax 23,MSD,35,15,2027-01-25,Refrigerated (2-8°C)
2026-02-21,Poland,Warsaw,Marszałkowska 104/122,00-017,PL-WAR-030,Influenza,Vaxigrip Tetra,Sanofi,160,50,2026-09-25,Refrigerated (2-8°C)
2026-02-21,Poland,Warsaw,"Galeria Mokotów, Wołoska 12",02-675,PL-WAR-031,COVID-19,Spikevax,Moderna,100,40,2026-05-15,Frozen (-20°C)
2026-02-21,Poland,Warsaw,"Złote Tarasy, Złota 59",00-120,PL-WAR-032,RSV,Arexvy,GSK,30,12,2026-11-05,Refrigerated (2-8°C)
2026-02-21,Poland,Krakow,"Galeria Krakowska, Pawia 5",31-154,PL-KRA-033,Pneumonia,Prevnar 13,Pfizer,65,25,2027-03-10,Refrigerated (2-8°C)
2026-02-21,Poland,Wroclaw,Rynek 46,50-116,PL-WRO-034,Influenza,Influvac,Viatris,85,30,2026-10-20,Refrigerated (2-8°C)
2026-02-21,Poland,Gdansk,"Forum Gdańsk, Targ Sienny 7",80-806,PL-GDA-035,COVID-19,Nuvaxovid,Novavax,40,15,2026-06-10,Refrigerated (2-8°C)
2026-02-21,Italy,Milan,Corso Buenos Aires 33,20124,IT-MIL-036,Influenza,Vaxigrip Tetra,Sanofi,90,40,2026-09-05,Refrigerated (2-8°C)
2026-02-21,Italy,Milan,Via Torino 22,20123,IT-MIL-037,RSV,Abrysvo,Pfizer,18,8,2026-12-01,Refrigerated (2-8°C)
2026-02-21,Italy,Verona,Via Mazzini 45,37121,IT-VER-038,Pneumonia,Pneumovax 23,MSD,25,10,2027-02-15,Refrigerated (2-8°C)
2026-02-21,Italy,Trento,Via Giannantonio Manci 4,38122,IT-TRE-039,COVID-19,Comirnaty,Pfizer/BioNTech,55,25,2026-06-20,Ultra-Low Temp
2026-02-21,Italy,Udine,Via Cavour 4,33100,IT-UDI-040,Influenza,Fluarix Tetra,GSK,40,20,2026-08-10,Refrigerated (2-8°C)
2026-02-21,Croatia,Zagreb,Ilica 45,10000,HR-ZAG-041,Influenza,Vaxigrip Tetra,Sanofi,110,40,2026-09-15,Refrigerated (2-8°C)
2026-02-21,Croatia,Zagreb,"Arena Centar, Vice Vukova 6",10000,HR-ZAG-042,COVID-19,Spikevax,Moderna,75,30,2026-05-10,Frozen (-20°C)
2026-02-21,Croatia,Split,"City Center One, Vukovarska 207",21000,HR-SPL-043,RSV,Arexvy,GSK,22,10,2026-11-30,Refrigerated (2-8°C)
2026-02-21,Croatia,Rijeka,Korzo 18,51000,HR-RIJ-044,Pneumonia,Prevnar 13,Pfizer,35,15,2027-04-10,Refrigerated (2-8°C)
2026-02-21,Slovenia,Ljubljana,Čopova ulica 2,1000,SI-LJU-045,Influenza,Influvac,Viatris,60,25,2026-10-01,Refrigerated (2-8°C)
2026-02-21,Slovenia,Ljubljana,"Citypark, Šmartinska 152g",1000,SI-LJU-046,RSV,Abrysvo,Pfizer,15,5,2026-12-15,Refrigerated (2-8°C)
2026-02-21,Slovenia,Maribor,Gosposka ulica 28,2000,SI-MAR-047,COVID-19,Nuvaxovid,Novavax,30,12,2026-06-30,Refrigerated (2-8°C)
2026-02-21,Romania,Bucharest,Calea Victoriei 100,010091,RO-BUC-048,Influenza,Vaxigrip Tetra,Sanofi,150,50,2026-09-10,Refrigerated (2-8°C)
2026-02-21,Romania,Bucharest,"AFI Cotroceni, Bulevardul Vasile Milea 4",061344,RO-BUC-049,COVID-19,Comirnaty,Pfizer/BioNTech,110,40,2026-06-05,Ultra-Low Temp
2026-02-21,Romania,Cluj-Napoca,Bulevardul 21 Decembrie 1989,400124,RO-CLU-050,Pneumonia,Prevnar 13,Pfizer,50,20,2027-03-15,Refrigerated (2-8°C)
2026-02-21,Romania,Timisoara,Piața Victoriei 2,300030,RO-TIM-051,RSV,Arexvy,GSK,20,8,2026-11-10,Refrigerated (2-8°C)
2026-02-21,Bulgaria,Sofia,"Serdika Center, Sitnyakovo Blvd 48",1505,BG-SOF-052,Influenza,Fluarix Tetra,GSK,80,30,2026-08-25,Refrigerated (2-8°C)
2026-02-21,Bulgaria,Sofia,Vitosha Blvd 63,1000,BG-SOF-053,COVID-19,Spikevax,Moderna,45,20,2026-05-25,Frozen (-20°C)
2026-02-21,Bulgaria,Plovdiv,"Mall Plovdiv, Perushtitsa St 8",4002,BG-PLO-054,Pneumonia,Pneumovax 23,MSD,25,10,2027-01-20,Refrigerated (2-8°C)
2026-02-21,Serbia,Belgrade,Knez Mihailova 32,11000,RS-BEL-055,Influenza,Vaxigrip Tetra,Sanofi,100,35,2026-09-30,Refrigerated (2-8°C)
2026-02-21,Serbia,Belgrade,Ušće Shopping Center,11070,RS-BEL-056,RSV,Abrysvo,Pfizer,28,10,2026-12-05,Refrigerated (2-8°C)
2026-02-21,Germany,Dusseldorf,Schadowstraße 62,40212,DE-DUS-057,COVID-19,Nuvaxovid,Novavax,35,15,2026-07-15,Refrigerated (2-8°C)
2026-02-21,Germany,Dortmund,Westenhellweg 102-106,44137,DE-DOR-058,Influenza,Vaxigrip Tetra,Sanofi,85,30,2026-09-15,Refrigerated (2-8°C)
2026-02-21,Germany,Essen,Limbecker Platz 1a,45127,DE-ESS-059,RSV,Arexvy,GSK,20,8,2026-11-25,Refrigerated (2-8°C)
2026-02-21,Germany,Leipzig,Grimmaische Str. 25,04109,DE-LEI-060,Pneumonia,Prevnar 13,Pfizer,45,20,2027-02-10,Refrigerated (2-8°C)
2026-02-21,Germany,Dresden,Prager Str. 3,01069,DE-DRE-061,Influenza,Fluarix Tetra,GSK,70,30,2026-08-10,Refrigerated (2-8°C)
2026-02-21,Austria,Innsbruck,Maria-Theresien-Straße 31,6020,AT-INN-062,COVID-19,Comirnaty,Pfizer/BioNTech,60,25,2026-06-20,Ultra-Low Temp
2026-02-21,Austria,Klagenfurt,"City Arkaden, Heuplatz 5",9020,AT-KLA-063,RSV,Abrysvo,Pfizer,12,5,2026-12-25,Refrigerated (2-8°C)
2026-02-21,Czech Republic,Plzen,"Plaza Plzeň, Radčická 2",30100,CZ-PLZ-064,Influenza,Influvac,Viatris,55,25,2026-10-10,Refrigerated (2-8°C)
2026-02-21,Czech Republic,Liberec,"Forum Liberec, Soukenné nám. 669/2a",46001,CZ-LIB-065,Pneumonia,Pneumovax 23,MSD,22,10,2027-03-05,Refrigerated (2-8°C)
2026-02-21,Slovakia,Zilina,"Aupark, Veľká okružná 59A",01001,SK-ZIL-066,COVID-19,Spikevax,Moderna,40,18,2026-05-20,Frozen (-20°C)
2026-02-21,Poland,Poznan,Półwiejska 42 (Stary Browar),61-888,PL-POZ-067,Influenza,Vaxigrip Tetra,Sanofi,95,40,2026-09-20,Refrigerated (2-8°C)
2026-02-21,Poland,Lodz,"Manufaktura, Karskiego 5",91-071,PL-LOD-068,RSV,Arexvy,GSK,24,10,2026-11-15,Refrigerated (2-8°C)
2026-02-21,Poland,Katowice,"Galeria Katowicka, 3 Maja 30",40-097,PL-KAT-069,Pneumonia,Prevnar 13,Pfizer,40,15,2027-04-05,Refrigerated (2-8°C)
2026-02-21,Hungary,Gyor,Baross Gábor út 21,9021,HU-GYO-070,Influenza,Fluarix Tetra,GSK,65,25,2026-08-30,Refrigerated (2-8°C)
2026-02-21,Hungary,Pecs,Irgalmasok utcája 18,7621,HU-PEC-071,COVID-19,Nuvaxovid,Novavax,35,15,2026-07-05,Refrigerated (2-8°C)
2026-02-21,Croatia,Osijek,"Portanova, Svilajska 31a",31000,HR-OSI-072,RSV,Abrysvo,Pfizer,14,5,2026-12-10,Refrigerated (2-8°C)
2026-02-21,Croatia,Zadar,"Supernova, Ulica Akcije Maslenica 1",23000,HR-ZAD-073,Influenza,Vaxigrip Tetra,Sanofi,50,20,2026-09-05,Refrigerated (2-8°C)
2026-02-21,Romania,Brasov,Strada Republicii 25,500030,RO-BRA-074,COVID-19,Comirnaty,Pfizer/BioNTech,80,30,2026-06-30,Ultra-Low Temp
2026-02-21,Romania,Iasi,"Palas Mall, Strada Palas 7A",700032,RO-IAS-075,Pneumonia,Prevnar 13,Pfizer,45,20,2027-01-15,Refrigerated (2-8°C)
2026-02-21,Romania,Constanta,"City Park Mall, Bulevardul Alexandru Lăpușneanu 116C",900419,RO-CON-076,Influenza,Influvac,Viatris,60,25,2026-10-25,Refrigerated (2-8°C)
2026-02-21,Bulgaria,Varna,"Grand Mall, Andrey Saharov 2",9000,BG-VAR-077,RSV,Arexvy,GSK,18,8,2026-11-20,Refrigerated (2-8°C)
2026-02-21,Bulgaria,Burgas,"Galleria Burgas, Yanko Komitov 6",8000,BG-BUR-078,COVID-19,Spikevax,Moderna,40,18,2026-05-15,Frozen (-20°C)
2026-02-21,Germany,Bremen,Obernstraße 38-42,28195,DE-BRE-079,Pneumonia,Pneumovax 23,MSD,32,15,2027-02-20,Refrigerated (2-8°C)
2026-02-21,Germany,Hannover,Georgstraße 36,30159,DE-HAN-080,Influenza,Vaxigrip Tetra,Sanofi,90,40,2026-09-10,Refrigerated (2-8°C)
2026-02-21,Germany,Nuremberg,Breite Gasse 35,90402,DE-NUR-081,COVID-19,Nuvaxovid,Novavax,45,20,2026-07-25,Refrigerated (2-8°C)
2026-02-21,Germany,Bonn,Sternstraße 54,53111,DE-BON-082,RSV,Abrysvo,Pfizer,22,10,2026-12-30,Refrigerated (2-8°C)
2026-02-21,Germany,Muenster,Ludgeristraße 54,48143,DE-MUE-083,Influenza,Fluarix Tetra,GSK,75,30,2026-08-20,Refrigerated (2-8°C)
2026-02-21,Austria,Vienna,"Donau Zentrum, Wagramer Str. 81",1220,AT-VIE-084,Pneumonia,Prevnar 13,Pfizer,50,20,2027-03-30,Refrigerated (2-8°C)
2026-02-21,Austria,Vienna,"BahnhofCity Wien West, Europaplatz 2",1150,AT-VIE-085,COVID-19,Comirnaty,Pfizer/BioNTech,85,35,2026-06-10,Ultra-Low Temp
2026-02-21,Czech Republic,Prague,"Centrum Chodov, Roztylská 2321/19",14800,CZ-PRG-086,RSV,Arexvy,GSK,26,10,2026-11-01,Refrigerated (2-8°C)
2026-02-21,Czech Republic,Ceske Budejovice,Lannova tř. 20,37001,CZ-CES-087,Influenza,Influvac,Viatris,40,20,2026-10-30,Refrigerated (2-8°C)
2026-02-21,Hungary,Miskolc,Széchenyi István út 111,3525,HU-MIS-088,COVID-19,Spikevax,Moderna,30,15,2026-05-10,Frozen (-20°C)
2026-02-21,Slovakia,Banska Bystrica,"Europa SC, Na Troskách 25",97401,SK-BAN-089,Influenza,Vaxigrip Tetra,Sanofi,45,20,2026-09-05,Refrigerated (2-8°C)
2026-02-21,Poland,Szczecin,"Galaxy Centrum, Aleja Wyzwolenia 18",70-554,PL-SZC-090,Pneumonia,Prevnar 13,Pfizer,35,15,2027-04-15,Refrigerated (2-8°C)
2026-02-21,Poland,Bydgoszcz,Gdańska 15,85-006,PL-BYD-091,RSV,Abrysvo,Pfizer,16,8,2026-12-15,Refrigerated (2-8°C)
2026-02-21,Italy,Bologna,Via dell'Indipendenza 22,40121,IT-BOL-092,Influenza,Fluarix Tetra,GSK,60,30,2026-08-15,Refrigerated (2-8°C)
2026-02-21,Italy,Florence,Via dei Calzaiuoli 12,50122,IT-FLO-093,COVID-19,Nuvaxovid,Novavax,40,15,2026-07-20,Refrigerated (2-8°C)
2026-02-21,Italy,Turin,Via Roma 310,10121,IT-TUR-094,Pneumonia,Pneumovax 23,MSD,28,12,2027-02-28,Refrigerated (2-8°C)
2026-02-21,Slovenia,Celje,"Citycenter, Mariborska cesta 100",3000,SI-CEL-095,Influenza,Vaxigrip Tetra,Sanofi,35,15,2026-09-15,Refrigerated (2-8°C)
2026-02-21,Croatia,Pula,"Max City, Stoja 14A",52100,HR-PUL-096,RSV,Arexvy,GSK,12,5,2026-11-25,Refrigerated (2-8°C)
2026-02-21,Romania,Sibiu,Strada Nicolae Bălcescu 10,550159,RO-SIB-097,COVID-19,Comirnaty,Pfizer/BioNTech,65,25,2026-06-15,Ultra-Low Temp
2026-02-21,Germany,Berlin,Kurfürstendamm 33,10719,DE-BER-098,Influenza,Influvac,Viatris,105,45,2026-10-01,Refrigerated (2-8°C)
2026-02-21,Germany,Munich,"Pasing Arcaden, Pasinger Bahnhofsplatz 5",81241,DE-MUC-099,RSV,Abrysvo,Pfizer,30,12,2026-12-05,Refrigerated (2-8°C)
2026-02-21,Poland,Warsaw,Nowy Świat 30,00-363,PL-WAR-100,COVID-19,Spikevax,Moderna,80,35,2026-05-30,Frozen (-20°C)
